# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_101 FILTER_LEN10_101	3.7e-164	   2.5e-167	        -383.63	       -42.5	       86	        171	         634	        644	  0.50292	1.7e-171	     14703
   1	FILTER_LEN10_102 FILTER_LEN10_102	1.9e-125	   1.3e-128	        -294.48	       -49.0	       73	        171	         464	        492	  0.42690	8.7e-133	     14703
   1	FILTER_LEN10_103 FILTER_LEN10_103	6.4e-110	   4.3e-113	        -258.73	       -48.5	       74	        171	         400	        420	  0.43275	2.9e-117	     14703
   1	FILTER_LEN10_104 FILTER_LEN10_104	1.9e-126	   1.2e-129	        -296.82	       -49.5	       72	        171	         474	        508	  0.42105	8.5e-134	     14703
   1	FILTER_LEN10_105 FILTER_LEN10_105	8.6e-166	   5.7e-169	        -387.39	       -45.5	       80	        171	         646	        673	  0.46784	3.9e-173	     14703
   1	FILTER_LEN10_106 FILTER_LEN10_106	1.5e-104	   9.8e-108	        -246.39	       -51.5	       68	        171	         376	        406	  0.39766	6.7e-112	     14703
   1	FILTER_LEN10_107 FILTER_LEN10_107	1.0e-158	   6.8e-162	        -371.10	       -45.0	       81	        171	         641	        670	  0.47368	4.6e-166	     14703
   1	FILTER_LEN10_108 FILTER_LEN10_108	6.2e-064	   4.1e-067	        -152.85	       -46.5	       78	        171	         264	        278	  0.45614	2.8e-071	     14703
   1	FILTER_LEN10_109 FILTER_LEN10_109	4.7e-076	   3.1e-079	        -180.77	       -43.5	       84	        171	         334	        348	  0.49123	2.1e-083	     14703
   1	FILTER_LEN10_110 FILTER_LEN10_110	1.4e-074	   9.3e-078	        -177.37	       -47.0	       77	        171	         331	        358	  0.45029	6.3e-082	     14703
   1	FILTER_LEN10_111 FILTER_LEN10_111	1.1e-096	   7.1e-100	        -228.30	       -50.0	       71	        171	         363	        390	  0.41520	4.8e-104	     14703
   1	FILTER_LEN10_112 FILTER_LEN10_112	9.0e-105	   6.0e-108	        -246.88	       -50.5	       70	        171	         377	        403	  0.40936	4.1e-112	     14703
   1	FILTER_LEN10_113 FILTER_LEN10_113	1.1e-028	   7.1e-032	         -71.73	       -41.5	       88	        171	         134	        136	  0.51462	4.8e-036	     14703
   1	FILTER_LEN10_114 FILTER_LEN10_114	1.3e-085	   9.0e-089	        -202.74	       -46.5	       78	        171	         378	        407	  0.45614	6.1e-093	     14703
   1	FILTER_LEN10_115 FILTER_LEN10_115	1.3e-096	   8.9e-100	        -228.07	       -48.5	       74	        171	         412	        450	  0.43275	6.1e-104	     14703
   1	FILTER_LEN10_116 FILTER_LEN10_116	3.8e-044	   2.6e-047	        -107.28	       -46.0	       79	        171	         189	        198	  0.46199	1.7e-051	     14703
   1	FILTER_LEN10_117 FILTER_LEN10_117	6.1e-151	   4.1e-154	        -353.19	       -41.0	       89	        171	         625	        636	  0.52047	2.8e-158	     14703
   1	FILTER_LEN10_118 FILTER_LEN10_118	1.7e-143	   1.1e-146	        -336.07	       -50.0	       71	        171	         520	        556	  0.41520	7.6e-151	     14703
   1	FILTER_LEN10_119 FILTER_LEN10_119	1.4e-134	   9.1e-138	        -315.54	       -41.5	       88	        171	         551	        561	  0.51462	6.2e-142	     14703
   1	FILTER_LEN10_120 FILTER_LEN10_120	2.1e-077	   1.4e-080	        -183.89	       -44.5	       82	        171	         291	        296	  0.47953	9.3e-085	     14703
   1	FILTER_LEN10_121 FILTER_LEN10_121	1.9e-122	   1.3e-125	        -287.59	       -48.5	       74	        171	         452	        477	  0.43275	8.6e-130	     14703
   1	FILTER_LEN10_122 FILTER_LEN10_122	9.9e-058	   6.6e-061	        -138.57	       -42.0	       85	        171	         244	        250	  0.49708	4.5e-065	     14703
   1	FILTER_LEN10_123 FILTER_LEN10_123	2.3e-117	   1.6e-120	        -275.87	       -43.0	       85	        171	         507	        527	  0.49708	1.1e-124	     14703
   1	FILTER_LEN10_124 FILTER_LEN10_124	2.1e-103	   1.4e-106	        -243.74	       -47.0	       77	        171	         413	        437	  0.45029	9.5e-111	     14703
   1	FILTER_LEN10_125 FILTER_LEN10_125	8.2e-111	   5.5e-114	        -260.79	       -53.0	       65	        171	         384	        419	  0.38012	3.7e-118	     14703
   1	FILTER_LEN10_126 FILTER_LEN10_126	1.1e-130	   7.0e-134	        -306.60	       -48.0	       75	        171	         481	        505	  0.43860	4.8e-138	     14703
   1	FILTER_LEN10_127 FILTER_LEN10_127	2.7e-090	   1.8e-093	        -213.56	       -44.5	       82	        171	         381	        398	  0.47953	1.2e-097	     14703
   1	FILTER_LEN10_128 FILTER_LEN10_128	7.8e-101	   5.2e-104	        -237.82	       -42.0	       87	        171	         432	        444	  0.50877	3.5e-108	     14703
   1	FILTER_LEN10_129 FILTER_LEN10_129	1.1e-081	   7.6e-085	        -193.70	       -47.5	       70	        171	         302	        324	  0.40936	5.1e-089	     14703
   1	FILTER_LEN10_130 FILTER_LEN10_130	2.7e-033	   1.8e-036	         -82.30	       -40.5	       86	        171	         150	        153	  0.50292	1.2e-040	     14703
   1	FILTER_LEN10_131 FILTER_LEN10_131	2.7e-118	   1.8e-121	        -278.02	       -51.5	       68	        171	         452	        499	  0.39766	1.2e-125	     14703
   1	FILTER_LEN10_132 FILTER_LEN10_132	7.6e-149	   5.1e-152	        -348.36	       -46.0	       77	        171	         587	        621	  0.45029	3.5e-156	     14703
   1	FILTER_LEN10_133 FILTER_LEN10_133	2.3e-104	   1.6e-107	        -245.93	       -47.0	       77	        171	         431	        460	  0.45029	1.1e-111	     14703
   1	FILTER_LEN10_134 FILTER_LEN10_134	2.8e-111	   1.8e-114	        -261.88	       -46.0	       79	        171	         449	        472	  0.46199	1.3e-118	     14703
   1	FILTER_LEN10_135 FILTER_LEN10_135	2.2e-070	   1.4e-073	        -167.72	       -42.5	       86	        171	         292	        298	  0.50292	9.8e-078	     14703
   1	FILTER_LEN10_136 FILTER_LEN10_136	1.0e-118	   6.7e-122	        -279.01	       -47.5	       76	        171	         459	        485	  0.44444	4.6e-126	     14703
   1	FILTER_LEN10_137 FILTER_LEN10_137	4.1e-065	   2.7e-068	        -155.57	       -49.5	       72	        171	         269	        293	  0.42105	1.9e-072	     14703
   1	FILTER_LEN10_138 FILTER_LEN10_138	3.6e-159	   2.4e-162	        -372.14	       -47.5	       74	        171	         581	        613	  0.43275	1.6e-166	     14703
   1	FILTER_LEN10_139 FILTER_LEN10_139	6.6e-105	   4.4e-108	        -247.20	       -46.5	       78	        171	         434	        461	  0.45614	3.0e-112	     14703
