# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_272 FILTER_LEN10_272	5.3e-094	   3.5e-097	        -222.09	         0.0	      180	       3992	        3518	      53861	  0.04509	1.8e-100	      1995
   1	FILTER_LEN10_273 FILTER_LEN10_273	7.8e-261	   5.2e-264	        -606.23	         0.0	      130	       3992	        3356	      53566	  0.03257	2.6e-267	      1995
   1	FILTER_LEN10_276 FILTER_LEN10_276	6.0e-007	   4.0e-010	         -21.64	         0.0	      492	       3992	        7200	      53873	  0.12325	2.0e-013	      1995
   1	FILTER_LEN10_278 FILTER_LEN10_278	6.0e-431	   4.0e-434	        -997.93	         0.0	      110	       3992	        3466	      53733	  0.02756	2.0e-437	      1995
   1	FILTER_LEN10_281 FILTER_LEN10_281	5.6e-980	   3.7e-983	       -2262.13	         0.0	       82	       3992	        3944	      53647	  0.02054	1.9e-986	      1995
   1	FILTER_LEN10_282 FILTER_LEN10_282	2.0e-203	   1.3e-206	        -474.06	         0.0	      104	       3992	        2671	      53442	  0.02605	6.6e-210	      1995
   1	FILTER_LEN10_283 FILTER_LEN10_283	6.8e-180	   4.6e-183	        -419.85	         0.0	       70	       3992	        1957	      53827	  0.01754	2.3e-186	      1995
   1	FILTER_LEN10_284 FILTER_LEN10_284	1.7e-014	   1.1e-017	         -39.03	         0.0	      656	       3992	        9663	      53861	  0.16433	5.6e-021	      1995
   1	FILTER_LEN10_286 FILTER_LEN10_286	1.2e-050	   8.3e-054	        -122.22	         0.0	      112	       3992	        2158	      53855	  0.02806	4.2e-057	      1995
   1	FILTER_LEN10_288 FILTER_LEN10_288	4.6e-281	   3.1e-284	        -652.81	         0.0	       74	       3992	        2325	      53824	  0.01854	1.5e-287	      1995
   1	FILTER_LEN10_289 FILTER_LEN10_289	3.3e-234	   2.2e-237	        -544.93	         0.0	      100	       3992	        2694	      53370	  0.02505	1.1e-240	      1995
